month,ticker,window_start,window_end,z_win,ret_2w_pct,mcap_at_start,turnover_min,turnover_median,turnover_thresh,sigma_d_pct,end_vs_high,up_day_ratio,max_day_contrib,run_days,sector,industry,mcap_bucket,market_cap_now,inst_pct,float_pct
2026-04,MXL,2026-04-16,2026-04-29,9.963,206.77,2090898192.0,35126246.0,275057666.0,30000000.0,3.558,0.947,0.9,0.505,5,Technology,Semiconductors,1B-10B,9157865443.0,90.63,93.31
2026-04,BB,2026-04-09,2026-04-22,6.729,53.824,2245710760.0,35014763.0,94078216.0,30000000.0,2.024,0.938,0.9,0.307,4,Technology,Software - Infrastructure,1B-10B,3656628515.0,50.92,99.75
2026-04,QCOM,2026-04-22,2026-05-05,5.614,37.614,143417777603.0,1283507489.0,4138041060.0,30000000.0,1.798,0.996,0.6,0.441,1,Technology,Semiconductors,100B+,250356615815.0,86.51,99.79
2026-04,NXPI,2026-04-16,2026-04-29,4.436,38.139,53960644910.0,568455127.0,900114654.0,30000000.0,2.303,0.988,0.8,0.704,3,Technology,Semiconductors,10B-100B,77253627175.0,103.01,99.81
2026-04,OGN,2026-04-09,2026-04-22,4.386,55.973,1814571999.0,49501587.0,68791870.0,30000000.0,3.205,0.93,0.7,0.552,1,Healthcare,Drug Manufacturers - General,1B-10B,3500469572.0,77.96,99.42
2026-04,RVMD,2026-04-08,2026-04-21,4.174,54.637,20568707738.0,116440657.0,609314298.0,30000000.0,3.302,0.956,0.6,0.794,2,Healthcare,Biotechnology,10B-100B,30645780056.0,97.53,91.31
2026-04,STRL,2026-04-22,2026-05-05,4.073,70.459,14970755742.0,134212742.0,215910478.0,30000000.0,4.141,0.998,0.7,0.788,1,Industrials,Engineering & Construction,10B-100B,26640930412.0,94.89,97.73
2026-03,APLS,2026-03-30,2026-04-13,7.572,140.66,2187883452.0,37006686.0,261104302.0,30000000.0,3.668,0.999,0.8,0.975,2,Healthcare,Biotechnology,1B-10B,5251432370.0,,
2026-03,SLNO,2026-03-30,2026-04-13,5.252,75.175,1586537319.0,42415096.0,174450670.0,30000000.0,3.375,0.999,0.9,0.499,7,Healthcare,Biotechnology,1B-10B,2759240660.0,,
2026-03,SNX,2026-03-30,2026-04-13,4.3,31.492,12873025699.0,175764152.0,221829081.0,30000000.0,2.013,0.998,0.9,0.362,1,Technology,Technology Distributors,10B-100B,19054296829.0,95.51,92.13
2026-03,HIMS,2026-03-02,2026-03-13,4.223,70.592,3756430908.0,301785426.0,802908550.0,30000000.0,4.0,0.899,0.6,0.64,1,Healthcare,Medical - Equipment & Services,1B-10B,6642135719.0,70.45,94.4
2026-03,XENE,2026-03-06,2026-03-19,4.025,31.201,4002214764.0,45500706.0,128199646.0,30000000.0,2.133,0.863,0.3,1.484,2,Healthcare,Biotechnology,1B-10B,5322926551.0,107.52,93.89
2026-02,FSLY,2026-02-06,2026-02-20,7.555,127.136,1341205015.0,31154521.0,341394461.0,30000000.0,3.434,0.892,0.8,0.663,5,Technology,Software - Application,1B-10B,3064270034.0,91.79,93.67
2026-02,DVA,2026-02-02,2026-02-13,6.218,36.226,7138397441.0,120539458.0,273516704.0,30000000.0,1.572,0.975,0.7,0.621,10,Healthcare,Medical - Care Facilities,1B-10B,12771305001.0,52.97,53.24
2026-02,IPGP,2026-02-02,2026-02-13,6.156,66.551,4013044073.0,42322554.0,73629910.0,30000000.0,2.621,0.988,0.8,0.595,4,Technology,Semiconductors,1B-10B,4392065581.0,72.34,64.86
2026-02,CGNX,2026-02-02,2026-02-13,5.937,51.755,6616837655.0,64082865.0,104589638.0,30000000.0,2.222,0.982,0.6,0.743,6,Technology,"Hardware, Equipment & Parts",1B-10B,11193372754.0,104.86,95.37
2026-02,MGA,2026-02-02,2026-02-13,5.802,34.396,14321723304.0,53356017.0,102360944.0,30000000.0,1.611,0.983,0.9,0.585,3,Consumer Cyclical,Auto - Parts,10B-100B,17435868707.0,75.67,99.75
2026-02,RNG,2026-02-06,2026-02-20,5.39,55.328,2280391505.0,42223699.0,111293606.0,30000000.0,2.583,0.972,0.7,0.671,1,Technology,Software - Application,1B-10B,3764375470.0,117.87,97.84
2026-02,SLAB,2026-02-04,2026-02-18,5.117,50.381,6708832516.0,138658821.0,321781643.0,30000000.0,2.521,0.984,0.6,0.976,6,Technology,Semiconductors,1B-10B,7163981667.0,94.02,98.11
2026-02,GRMN,2026-02-06,2026-02-20,4.643,25.271,39020594588.0,130724593.0,279951012.0,30000000.0,1.534,0.969,0.8,0.4,1,Technology,"Hardware, Equipment & Parts",10B-100B,46744485327.0,58.57,85.36
2026-02,MASI,2026-02-17,2026-03-02,4.636,34.768,9147783293.0,160810930.0,378571160.0,30000000.0,2.035,0.997,0.7,0.986,5,Healthcare,Medical - Instruments & Supplies,1B-10B,9347297028.0,104.78,84.6
2026-02,KEYS,2026-02-17,2026-03-02,4.636,34.157,40198470185.0,247989017.0,638538778.0,30000000.0,2.004,0.988,0.9,0.706,4,Technology,"Hardware, Equipment & Parts",10B-100B,62831654666.0,92.49,99.39
2026-02,NFLX,2026-02-24,2026-03-09,4.632,29.334,328610694418.0,2581492964.0,5514344431.0,30000000.0,1.756,0.981,0.8,0.502,5,Communication Services,Entertainment,100B+,359812709354.0,88.06,99.29
2026-02,YOU,2026-02-18,2026-03-03,4.631,50.523,4456267601.0,36492756.0,87013733.0,30000000.0,2.793,0.969,0.8,0.805,5,Technology,Software - Application,1B-10B,7603991116.0,98.87,87.18
2026-02,IOVA,2026-02-24,2026-03-09,4.31,87.197,1687779059.0,49262799.0,106878006.0,30000000.0,4.6,0.961,0.7,0.428,1,Healthcare,Biotechnology,1B-10B,1652058868.0,67.74,86.88
2026-02,XENE,2026-02-26,2026-03-11,4.26,32.436,4286587677.0,31854479.0,63023593.0,30000000.0,2.085,0.923,0.3,1.435,1,Healthcare,Biotechnology,1B-10B,5322926551.0,107.52,93.89
